lob,lob명,청구항목id,청구항목명,단위서비스id,단위서비스명,요금유형코드,기준월,회선수,신규회선수,해지회선수,요청금액,할인금액,청구금액,ARPU,할인율,성장률,계절성_요인,출시월,서비스개월수
MB,모바일,BI0001,5G 프리미엄 월정액,US0001,DATA001,R005,2025-03,1461,95,49,135117153,13001477,117013296,88990.26,10.0,15.0,1.05,2025-02,2
MB,모바일,BI0002,5G 무제한 플러스,US0002,DATA002,R003,2025-03,2618,60,55,238131247,22431379,201882413,85681.36,10.0,25.4,1.05,2025-01,3
MB,모바일,BI0003,5G 비즈니스 프로,US0003,DATA003,R006,2025-03,923,38,14,89075048,8808634,79277707,95434.82,10.0,0.0,1.05,2025-03,1
MB,모바일,BI0004,5G 가족 무제한,US0004,DATA004,R005,2025-03,3629,190,158,251367843,23064431,207579888,63555.89,10.0,8.0,1.05,2025-02,2
MB,모바일,BI0006,5G 시니어 케어,US0006,DATA006,R007,2025-03,993,21,26,46087452,4456538,40108845,44879.54,10.0,10.3,1.05,2025-01,3
MB,모바일,BI0007,5G 학생 할인,US0007,DATA007,R003,2025-03,3232,211,117,123458051,11740053,105660481,36324.42,10.0,0.0,1.05,2025-03,1
MB,모바일,BI0008,5G 직장인 플랜,US0008,DATA008,R001,2025-03,2119,124,37,133980317,12784915,115064242,60334.67,10.0,10.0,1.05,2025-02,2
MB,모바일,BI0009,5G 엔터프라이즈,US0009,DATA009,R008,2025-03,616,19,28,105854008,9833566,88502101,159635.82,10.0,32.2,1.05,2025-01,3
MB,모바일,BI0011,LTE 무제한 월정액,US0011,VOICE001,R008,2025-03,3388,101,148,157557162,10363338,137684357,43697.67,7.0,-4.0,1.05,2025-01,3
MB,모바일,BI0012,LTE 프리미엄 플러스,US0012,VOICE002,R003,2025-03,3152,180,97,193392658,12930065,171785155,58602.54,7.0,-2.0,1.05,2025-01,3
MB,모바일,BI0013,LTE 가족 패키지,US0013,VOICE003,R005,2025-03,4852,197,88,217837619,14329758,190381072,42191.02,7.0,2.0,1.05,2025-01,3
MB,모바일,BI0014,LTE 비즈니스 베이직,US0014,VOICE004,R001,2025-03,1809,75,42,100023288,6653500,88396502,52542.84,7.0,6.1,1.05,2025-01,3
MB,모바일,BI0015,LTE 청소년 요금제,US0015,VOICE005,R002,2025-03,1972,67,64,67180210,4282762,56899564,31025.52,7.0,-9.8,1.05,2025-01,3
IOT,사물인터넷,BI0016,IoT 센서 월정액,US0016,IOT001,R008,2025-03,2090,53,38,30976929,1459811,27736411,13969.48,5.0,69.0,1.05,2025-01,3
IOT,사물인터넷,BI0017,스마트홈 연결료,US0017,IOT002,R004,2025-03,1118,61,39,9508209,473746,9001181,8474.89,5.0,22.0,1.05,2025-02,2
IOT,사물인터넷,BI0019,산업용 IoT 월정액,US0019,IOT003,R003,2025-03,378,15,13,6652507,310437,5898307,16425.25,5.0,0.0,1.05,2025-03,1
IOT,사물인터넷,BI0020,농업 IoT 서비스,US0020,AGRI001,R008,2025-03,497,15,17,7056106,490674,6518956,14103.89,7.0,40.0,1.05,2025-02,2
IOT,사물인터넷,BI0021,물류 추적 서비스,US0021,TRACK001,R007,2025-03,308,12,12,3660677,255428,3393549,11847.33,7.0,0.0,1.05,2025-03,1
IOT,사물인터넷,BI0022,스마트미터 서비스,US0022,METER001,R002,2025-03,1222,85,52,11648463,749750,9960969,8764.91,7.0,56.2,1.05,2025-01,3
IOT,사물인터넷,BI0025,스마트 팩토리,US0025,FACTORY001,R007,2025-03,302,20,3,11564608,751892,9989424,35567.27,7.0,42.0,1.05,2025-02,2
EN,기업솔루션,BI0026,기업전용 패키지 월정액,US0026,BUSI001,R004,2025-03,1063,30,26,172865402,27840631,135927789,154062.48,17.0,16.6,1.05,2025-01,3
EN,기업솔루션,BI0027,기업 전용선 월정액,US0027,CORP001,R001,2025-03,495,24,10,105710629,16777307,81912738,199373.83,17.0,10.3,1.05,2025-01,3
EN,기업솔루션,BI0028,VPN 서비스 월정액,US0028,VPN001,R006,2025-03,314,24,5,33772395,2279167,30280372,103692.8,7.0,0.0,1.05,2025-03,1
IS,인터넷서비스,BI0029,클라우드 연결 서비스,US0029,CLOUD001,R007,2025-03,388,7,7,36643202,2360729,31363981,86919.36,7.0,28.0,1.05,2025-02,2
EN,기업솔루션,BI0030,보안솔루션 월정액,US0030,SEC001,R008,2025-03,299,10,9,40588830,2700669,35880318,129033.4,7.0,25.4,1.05,2025-01,3
EN,기업솔루션,BI0031,영상회의 서비스,US0031,CONF001,R003,2025-03,827,18,28,54382660,3714539,49350309,64165.48,7.0,35.0,1.05,2025-02,2
IS,인터넷서비스,BI0032,서버 호스팅 서비스,US0032,HOST001,R004,2025-03,242,9,6,30395011,1956237,25990008,115480.35,7.0,32.2,1.05,2025-01,3
IS,인터넷서비스,BI0033,백업 솔루션 서비스,US0033,BACKUP001,R004,2025-03,159,7,1,9605560,648318,8613376,58249.65,7.0,0.0,1.05,2025-03,1
EN,기업솔루션,BI0034,방화벽 서비스,US0034,FW001,R005,2025-03,163,11,2,16829885,1091902,14506705,95696.98,7.0,18.0,1.05,2025-02,2
BC,방송서비스,BI0036,컬러링 서비스,US0036,ADDON001,R004,2025-03,3020,116,88,8958319,623193,8279565,2947.93,7.0,-4.0,1.05,2025-01,3
BC,방송서비스,BI0037,통화대기 서비스,US0037,ADDON002,R007,2025-03,2750,106,87,6910867,483473,6423293,2511.55,7.0,-5.9,1.05,2025-01,3
BC,방송서비스,BI0038,음성사서함 서비스,US0038,ADDON003,R006,2025-03,2763,172,70,8378157,581388,7724156,3005.99,7.0,-2.0,1.05,2025-01,3
BC,방송서비스,BI0039,번호이동 서비스,US0039,PORT001,R001,2025-03,2170,92,44,3809223,258974,3440661,1704.9,7.0,10.3,1.05,2025-01,3
